iter	Passed	Remaining
878	21003	2891
879	21023	2866
880	21043	2842
881	21065	2818
882	21085	2793
883	21107	2769
884	21129	2745
885	21151	2721
886	21173	2697
887	21197	2673
888	21221	2649
889	21242	2625
890	21265	2601
891	21286	2577
892	21308	2553
893	21330	2529
894	21352	2504
895	21376	2481
896	21400	2457
897	21423	2433
898	21445	2409
899	21467	2385
900	21488	2361
901	21510	2337
902	21530	2312
903	21551	2288
904	21571	2264
905	21593	2240
906	21615	2216
907	21638	2192
908	21660	2168
909	21682	2144
910	21703	2120
911	21724	2096
912	21746	2072
913	21767	2048
914	21788	2024
915	21809	2000
916	21832	1976
917	21857	1952
918	21879	1928
919	21901	1904
920	21923	1880
921	21945	1856
922	21967	1832
923	21988	1808
924	22009	1784
925	22031	1760
926	22054	1736
927	22076	1712
928	22100	1689
929	22121	1665
930	22142	1641
931	22163	1617
932	22184	1593
933	22206	1569
934	22228	1545
935	22249	1521
936	22272	1497
937	22296	1473
938	22317	1449
939	22339	1425
940	22362	1402
941	22384	1378
942	22406	1354
943	22427	1330
944	22449	1306
945	22471	1282
946	22496	1259
947	22520	1235
948	22541	1211
949	22563	1187
950	22584	1163
951	22606	1139
952	22627	1115
953	22648	1092
954	22669	1068
955	22691	1044
956	22714	1020
957	22735	996
958	22755	972
959	22776	949
960	22797	925
961	22822	901
962	22845	877
963	22865	853
964	22890	830
965	22915	806
966	22938	782
967	22962	759
968	22984	735
969	23005	711
970	23027	687
971	23048	663
972	23070	640
973	23093	616
974	23114	592
975	23138	568
976	23217	546
977	23246	522
978	23272	499
979	23296	475
980	23318	451
981	23341	427
982	23366	404
983	23393	380
984	23414	356
985	23435	332
986	23457	308
987	23482	285
988	23504	261
989	23526	237
990	23551	213
991	23586	190
992	23617	166
993	23652	142
994	23687	119
995	23722	95
996	23753	71
997	23783	47
998	23821	23
999	23860	0
